game_title,score,source
Wii Sports,5.3,"Barron, Shannon and Smith"
Super Mario Bros.,8.6,Ruiz LLC
Mario Kart Wii,6.4,Collins-Myers
Wii Sports Resort,8.8,"Nielsen, Reynolds and Washington"
Pokemon Red/Pokemon Blue,8.2,Lopez-Hensley
Tetris,9.4,"Ward, Thomas and Burnett"
New Super Mario Bros.,6.6,"Baker, Pierce and Galvan"
Wii Play,6.9,Kelley Ltd
New Super Mario Bros. Wii,7.4,Clark-Cooper
Duck Hunt,9.8,Bean-Gonzalez
Nintendogs,9.8,Mata-Hill
Mario Kart DS,9.1,Burgess LLC
Pokemon Gold/Pokemon Silver,8.9,Wright LLC
Wii Fit,7.7,"Oconnor, Harrell and Sanders"
Wii Fit Plus,5.4,"Sanders, Hopkins and Washington"
Kinect Adventures!,6.6,Rivera-Clark
Grand Theft Auto V,6.0,"Banks, Herrera and Gutierrez"
Grand Theft Auto: San Andreas,8.4,Ayers-Clark
Super Mario World,7.0,"Jackson, Hoffman and Austin"
Brain Age: Train Your Brain in Minutes a Day,7.7,Frederick-Roberts
Pokemon Diamond/Pokemon Pearl,8.3,"Fowler, Perkins and Tate"
Super Mario Land,8.7,Cardenas-Kelly
Super Mario Bros. 3,9.4,Chapman PLC
Grand Theft Auto: Vice City,8.2,Stone-Torres
Pokemon Ruby/Pokemon Sapphire,6.2,"Miller, Holloway and Reynolds"
Pokemon Black/Pokemon White,7.8,"Meyer, Lane and Alvarez"
Brain Age 2: More Training in Minutes a Day,7.5,"Reed, Sanchez and Taylor"
Gran Turismo 3: A-Spec,5.1,"Diaz, Gibbs and Lopez"
Call of Duty: Modern Warfare 3,10.0,Harris-Anderson
Pokémon Yellow: Special Pikachu Edition,6.8,Gonzalez Inc
Call of Duty: Black Ops,9.3,Thompson-Escobar
Pokemon X/Pokemon Y,9.5,Hernandez Group
Call of Duty: Black Ops 3,5.4,Davis Inc
Call of Duty: Black Ops II,7.7,Burke PLC
Call of Duty: Modern Warfare 2,5.2,Gonzales Ltd
Grand Theft Auto III,9.9,Moss Ltd
Super Smash Bros. Brawl,9.2,"Barnes, Lozano and Graves"
Animal Crossing: Wild World,7.3,"Pennington, Wang and Barber"
Mario Kart 7,8.8,Meyer-Jenkins
Halo 3,8.0,Castillo PLC
Pokemon HeartGold/Pokemon SoulSilver,8.9,Flores PLC
Super Mario 64,6.2,Rodriguez-Mckee
Gran Turismo 4,5.4,Rodriguez-Anderson
Super Mario Galaxy,9.0,Hudson-Adams
Pokemon Omega Ruby/Pokemon Alpha Sapphire,5.8,Melendez-Elliott
Super Mario Land 2: 6 Golden Coins,7.5,"Middleton, Smith and Donaldson"
Grand Theft Auto IV,9.5,"Smith, Lopez and Arnold"
Gran Turismo,7.8,Lowery-Johns
Super Mario 3D Land,6.7,"Lopez, Meyer and Shaw"
Gran Turismo 5,8.8,Henderson-Smith
Super Mario All-Stars,6.9,"Dawson, Goodman and Humphrey"
Pokemon FireRed/Pokemon LeafGreen,5.5,"Harris, Smith and Oneal"
Just Dance 3,8.9,Sanchez Inc
Call of Duty: Ghosts,8.0,"Oliver, Sweeney and Walker"
Halo: Reach,9.7,"Moss, Becker and Walker"
Mario Kart 64,5.2,Hendricks-Reeves
New Super Mario Bros. 2,5.8,Lewis LLC
Halo 4,5.2,"Martinez, Frederick and Chapman"
Final Fantasy VII,7.8,Martinez-Eaton
Just Dance 2,9.1,Woodward-Gill
Gran Turismo 2,8.0,Rasmussen-Brooks
Call of Duty 4: Modern Warfare,8.3,Mcfarland-Mcpherson
Donkey Kong Country,7.3,Becker-Williams
Minecraft,6.1,Gutierrez-Morton
Animal Crossing: New Leaf,7.1,Garcia and Sons
Mario Party DS,6.7,Tapia-Scott
The Elder Scrolls V: Skyrim,5.6,"Davis, Freeman and Santiago"
Super Mario Kart,6.5,Wilson Ltd
FIFA 16,9.4,"Miller, Johnson and Lutz"
Wii Party,9.9,Romero-Zuniga
Halo 2,9.2,Keith Inc
Mario Party 8,9.4,"Ruiz, Nguyen and Mclean"
Pokemon Black 2/Pokemon White 2,9.2,"Spencer, Brown and Woods"
FIFA Soccer 13,6.8,Turner-Johnson
