title,publisher_name,genre_name,year
Wii Sports,Nintendo,Sports,2006
Super Mario Bros.,Nintendo,Platform,1985
Mario Kart Wii,Nintendo,Racing,2008
Wii Sports Resort,Nintendo,Sports,2009
Pokemon Red/Pokemon Blue,Nintendo,Role-Playing,1996
Tetris,Nintendo,Puzzle,1989
New Super Mario Bros.,Nintendo,Platform,2006
Wii Play,Nintendo,Misc,2006
New Super Mario Bros. Wii,Nintendo,Platform,2009
Duck Hunt,Nintendo,Shooter,1984
Nintendogs,Nintendo,Simulation,2005
Mario Kart DS,Nintendo,Racing,2005
Pokemon Gold/Pokemon Silver,Nintendo,Role-Playing,1999
Wii Fit,Nintendo,Sports,2007
Wii Fit Plus,Nintendo,Sports,2009
Kinect Adventures!,Microsoft Game Studios,Misc,2010
Grand Theft Auto V,Take-Two Interactive,Action,2013
Grand Theft Auto: San Andreas,Take-Two Interactive,Action,2004
Super Mario World,Nintendo,Platform,1990
Brain Age: Train Your Brain in Minutes a Day,Nintendo,Misc,2005
Pokemon Diamond/Pokemon Pearl,Nintendo,Role-Playing,2006
Super Mario Land,Nintendo,Platform,1989
Super Mario Bros. 3,Nintendo,Platform,1988
Grand Theft Auto: Vice City,Take-Two Interactive,Action,2002
Pokemon Ruby/Pokemon Sapphire,Nintendo,Role-Playing,2002
Pokemon Black/Pokemon White,Nintendo,Role-Playing,2010
Brain Age 2: More Training in Minutes a Day,Nintendo,Puzzle,2005
Gran Turismo 3: A-Spec,Sony Computer Entertainment,Racing,2001
Call of Duty: Modern Warfare 3,Activision,Shooter,2011
Pokémon Yellow: Special Pikachu Edition,Nintendo,Role-Playing,1998
Call of Duty: Black Ops,Activision,Shooter,2010
Pokemon X/Pokemon Y,Nintendo,Role-Playing,2013
Call of Duty: Black Ops 3,Activision,Shooter,2015
Call of Duty: Black Ops II,Activision,Shooter,2012
Call of Duty: Modern Warfare 2,Activision,Shooter,2009
Grand Theft Auto III,Take-Two Interactive,Action,2001
Super Smash Bros. Brawl,Nintendo,Fighting,2008
Animal Crossing: Wild World,Nintendo,Simulation,2005
Mario Kart 7,Nintendo,Racing,2011
Halo 3,Microsoft Game Studios,Shooter,2007
Grand Theft Auto V,Take-Two Interactive,Action,2014
Pokemon HeartGold/Pokemon SoulSilver,Nintendo,Action,2009
Super Mario 64,Nintendo,Platform,1996
