title,platform_name,region_code,amount
Wii Sports,Wii,NA,41.49
Super Mario Bros.,NES,NA,29.08
Mario Kart Wii,Wii,NA,15.85
Wii Sports Resort,Wii,NA,15.75
Pokemon Red/Pokemon Blue,GB,NA,11.27
Tetris,GB,NA,23.2
New Super Mario Bros.,DS,NA,11.38
Wii Play,Wii,NA,14.03
New Super Mario Bros. Wii,Wii,NA,14.59
Duck Hunt,NES,NA,26.93
Nintendogs,DS,NA,9.07
Mario Kart DS,DS,NA,9.81
Pokemon Gold/Pokemon Silver,GB,NA,9.0
Wii Fit,Wii,NA,8.94
Wii Fit Plus,Wii,NA,9.09
Kinect Adventures!,X360,NA,14.97
Grand Theft Auto V,PS3,NA,7.01
Grand Theft Auto: San Andreas,PS2,NA,9.43
Super Mario World,SNES,NA,12.78
Brain Age: Train Your Brain in Minutes a Day,DS,NA,4.75
Pokemon Diamond/Pokemon Pearl,DS,NA,6.42
Super Mario Land,GB,NA,10.83
Super Mario Bros. 3,NES,NA,9.54
Grand Theft Auto V,X360,NA,9.63
Grand Theft Auto: Vice City,PS2,NA,8.41
Pokemon Ruby/Pokemon Sapphire,GBA,NA,6.06
Pokemon Black/Pokemon White,DS,NA,5.57
Brain Age 2: More Training in Minutes a Day,DS,NA,3.44
Gran Turismo 3: A-Spec,PS2,NA,6.85
Call of Duty: Modern Warfare 3,X360,NA,9.03
Pokémon Yellow: Special Pikachu Edition,GB,NA,5.89
Call of Duty: Black Ops,X360,NA,9.67
Pokemon X/Pokemon Y,3DS,NA,5.17
Call of Duty: Black Ops 3,PS4,NA,5.77
Call of Duty: Black Ops II,PS3,NA,4.99
Call of Duty: Black Ops II,X360,NA,8.25
Call of Duty: Modern Warfare 2,X360,NA,8.52
Call of Duty: Modern Warfare 3,PS3,NA,5.54
Grand Theft Auto III,PS2,NA,6.99
Super Smash Bros. Brawl,Wii,NA,6.75
Call of Duty: Black Ops,PS3,NA,5.98
Animal Crossing: Wild World,DS,NA,2.55
Mario Kart 7,3DS,NA,4.74
Halo 3,X360,NA,7.97
Grand Theft Auto V,PS4,NA,3.8
Pokemon HeartGold/Pokemon SoulSilver,DS,NA,4.4
Super Mario 64,N64,NA,6.91
Gran Turismo 4,PS2,NA,3.01
Super Mario Galaxy,Wii,NA,6.16
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,NA,4.23
Super Mario Land 2: 6 Golden Coins,GB,NA,6.16
Grand Theft Auto IV,X360,NA,6.76
Gran Turismo,PS,NA,4.02
Super Mario 3D Land,3DS,NA,4.89
Gran Turismo 5,PS3,NA,2.96
Call of Duty: Modern Warfare 2,PS3,NA,4.99
Grand Theft Auto IV,PS3,NA,4.76
Super Mario All-Stars,SNES,NA,5.99
Pokemon FireRed/Pokemon LeafGreen,GBA,NA,4.34
Super Mario 64,DS,NA,5.08
Just Dance 3,Wii,NA,6.05
Call of Duty: Ghosts,X360,NA,6.72
Halo: Reach,X360,NA,7.03
Mario Kart 64,N64,NA,5.55
New Super Mario Bros. 2,3DS,NA,3.66
Halo 4,X360,NA,6.63
Final Fantasy VII,PS,NA,3.01
Call of Duty: Ghosts,PS3,NA,4.09
Just Dance 2,Wii,NA,5.84
Gran Turismo 2,PS,NA,3.88
Call of Duty 4: Modern Warfare,X360,NA,5.91
Donkey Kong Country,SNES,NA,4.36
Minecraft,X360,NA,5.58
Animal Crossing: New Leaf,3DS,NA,2.01
Mario Party DS,DS,NA,4.46
The Elder Scrolls V: Skyrim,X360,NA,5.03
Super Mario Kart,SNES,NA,3.54
FIFA 16,PS4,NA,1.11
Wii Party,Wii,NA,1.79
Halo 2,XB,NA,6.82
Mario Party 8,Wii,NA,3.81
Pokemon Black 2/Pokemon White 2,DS,NA,2.91
FIFA Soccer 13,PS3,NA,1.06
The Sims 3,PC,NA,0.98
GoldenEye 007,N64,NA,5.8
Mario & Sonic at the Olympic Games,Wii,NA,2.58
Final Fantasy X,PS2,NA,2.91
Final Fantasy VIII,PS,NA,2.28
Pokémon Platinum Version,DS,NA,2.82
Pac-Man,2600,NA,7.28
Grand Theft Auto: Liberty City Stories,PSP,NA,2.9
Super Mario Galaxy 2,Wii,NA,3.66
Star Wars Battlefront (2015),PS4,NA,2.93
Call of Duty: Advanced Warfare,PS4,NA,2.8
The Legend of Zelda: Ocarina of Time,N64,NA,4.1
Crash Bandicoot 2: Cortex Strikes Back,PS,NA,3.78
Super Mario Bros. 2,NES,NA,5.39
Super Smash Bros. for Wii U and 3DS,3DS,NA,3.24
Call of Duty: World at War,X360,NA,4.79
Battlefield 3,X360,NA,4.46
The Legend of Zelda: Twilight Princess,Wii,NA,3.83
Call of Duty: Black Ops 3,XOne,NA,4.52
Just Dance,Wii,NA,3.51
Battlefield 3,PS3,NA,2.85
Need for Speed Underground,PS2,NA,3.27
Tekken 3,PS,NA,3.27
Crash Bandicoot 3: Warped,PS,NA,3.68
Super Smash Bros. Melee,GC,NA,4.41
Mario Kart 8,WiiU,NA,3.13
Fallout 4,PS4,NA,2.47
Mario Kart: Double Dash!!,GC,NA,4.12
Just Dance 4,Wii,NA,4.14
FIFA 14,PS3,NA,0.78
Need for Speed Underground 2,PS2,NA,2.71
Medal of Honor: Frontline,PS2,NA,2.93
Uncharted 3: Drake's Deception,PS3,NA,2.77
Crash Bandicoot,PS,NA,3.23
Zumba Fitness,Wii,NA,3.5
Gears of War 2,X360,NA,4.15
Uncharted 2: Among Thieves,PS3,NA,3.27
Call of Duty 4: Modern Warfare,PS3,NA,3.1
FIFA 12,PS3,NA,0.84
Big Brain Academy,DS,NA,1.67
Red Dead Redemption,PS3,NA,2.79
FIFA 15,PS4,NA,0.79
Donkey Kong Country Returns,Wii,NA,3.25
The Elder Scrolls V: Skyrim,PS3,NA,2.55
The Legend of Zelda,NES,NA,3.74
Assassin's Creed III,PS3,NA,2.64
Halo: Combat Evolved,XB,NA,4.98
Pokémon Emerald Version,GBA,NA,2.57
Kingdom Hearts,PS2,NA,3.64
Pokémon Crystal Version,GB,NA,2.55
Halo 3: ODST,X360,NA,4.34
Red Dead Redemption,X360,NA,3.7
Super Mario Sunshine,GC,NA,4.01
Street Fighter II: The World Warrior,SNES,NA,2.47
World of Warcraft,PC,NA,0.07
Driver,PS,NA,3.11
Kinect Sports,X360,NA,3.92
Gears of War 3,X360,NA,4.05
Gears of War,X360,NA,3.54
Metal Gear Solid 2: Sons of Liberty,PS2,NA,2.45
Sonic the Hedgehog 2,GEN,NA,4.47
Metal Gear Solid 4: Guns of the Patriots,PS3,NA,2.63
Metal Gear Solid,PS,NA,3.18
The Last of Us,PS3,NA,2.41
Final Fantasy XII,PS2,NA,1.88
LittleBigPlanet,PS3,NA,2.8
Dragon Quest IX: Sentinels of the Starry Skies,DS,NA,0.66
LEGO Star Wars: The Complete Saga,Wii,NA,3.66
Resident Evil 2,PS,NA,1.88
Tekken 2,PS,NA,2.26
Cooking Mama,DS,NA,3.13
Destiny,PS4,NA,2.49
Tetris,NES,NA,2.97
